TERM,MEANING
T17590S,"Oth foreign object in bronchus causing asphyxiation, sequela"
T17598A,"Oth foreign object in bronchus causing oth injury, init"
T17598D,"Oth foreign object in bronchus causing oth injury, subs"
T17598S,"Oth foreign object in bronchus causing other injury, sequela"
T17800A,"Unsp foreign body in oth prt resp tract causing asphyx, init"
T17800D,"Unsp foreign body in oth prt resp tract causing asphyx, subs"
T17800S,"Unsp fb in oth prt resp tract causing asphyx, sequela"
T17808A,"Unsp fb in oth prt resp tract causing oth injury, init"
T17808D,"Unsp fb in oth prt resp tract causing oth injury, subs"
T17808S,"Unsp fb in oth prt resp tract causing oth injury, sequela"
T17810A,"Gastric contents in oth prt resp tract causing asphyx, init"
T17810D,"Gastric contents in oth prt resp tract causing asphyx, subs"
T17810S,"Gastric contents in oth prt resp tract cause asphyx, sequela"
T17818A,"Gastr contents in oth prt resp tract cause oth injury, init"
T17818D,"Gastr contents in oth prt resp tract cause oth injury, subs"
T17818S,"Gastr contents in oth prt resp tract cause oth injury, sqla"
T17820A,"Food in oth prt respiratory tract causing asphyxiation, init"
T17820D,"Food in oth prt respiratory tract causing asphyxiation, subs"
T17820S,"Food in oth prt resp tract causing asphyxiation, sequela"
T17828A,"Food in oth prt respiratory tract causing oth injury, init"
T17828D,"Food in oth prt respiratory tract causing oth injury, subs"
T17828S,"Food in oth prt resp tract causing oth injury, sequela"
T17890A,"Oth foreign object in oth prt resp tract cause asphyx, init"
T17890D,"Oth foreign object in oth prt resp tract cause asphyx, subs"
T17890S,"Oth forn object in oth prt resp tract cause asphyx, sequela"
T17898A,"Oth forn object in oth prt resp tract cause oth injury, init"
T17898D,"Oth forn object in oth prt resp tract cause oth injury, subs"
T17898S,"Oth forn object in oth prt resp tract cause oth injury, sqla"
T17900A,"Unsp fb in resp tract, part unsp causing asphyx, init"
T17900D,"Unsp fb in resp tract, part unsp causing asphyx, subs"
T17900S,"Unsp fb in resp tract, part unsp causing asphyx, sequela"
T17908A,"Unsp fb in resp tract, part unsp causing oth injury, init"
T17908D,"Unsp fb in resp tract, part unsp causing oth injury, subs"
T17908S,"Unsp fb in resp tract, part unsp causing oth injury, sequela"
T17910A,"Gastric contents in resp tract, part unsp cause asphyx, init"
T17910D,"Gastric contents in resp tract, part unsp cause asphyx, subs"
T17910S,"Gastr contents in resp tract, part unsp cause asphyx, sqla"
T17918A,"Gastr contents in resp tract, part unsp cause oth inj, init"
T17918D,"Gastr contents in resp tract, part unsp cause oth inj, subs"
T17918S,"Gastr contents in resp tract, part unsp cause oth inj, sqla"
T17920A,"Food in resp tract, part unsp causing asphyxiation, init"
T17920D,"Food in resp tract, part unsp causing asphyxiation, subs"
T17920S,"Food in resp tract, part unsp causing asphyxiation, sequela"
T17928A,"Food in resp tract, part unsp causing oth injury, init"
T17928D,"Food in resp tract, part unsp causing oth injury, subs"
T17928S,"Food in resp tract, part unsp causing oth injury, sequela"
T17990A,"Oth forn obj in resp tract, part unsp in cause asphyx, init"
T17990D,"Oth forn obj in resp tract, part unsp in cause asphyx, subs"
T17990S,"Oth forn obj in resp tract, part unsp in cause asphyx, sqla"
T17998A,"Oth forn object in resp tract, part unsp cause oth inj, init"
T17998D,"Oth forn object in resp tract, part unsp cause oth inj, subs"
T17998S,"Oth forn object in resp tract, part unsp cause oth inj, sqla"
T180XXA,"Foreign body in mouth, initial encounter"
T180XXD,"Foreign body in mouth, subsequent encounter"
T180XXS,"Foreign body in mouth, sequela"
T18100A,"Unsp fb in esophagus causing compression of trachea, init"
T18100D,"Unsp fb in esophagus causing compression of trachea, subs"
T18100S,"Unsp fb in esophagus causing compression of trachea, sequela"
T18108A,"Unsp foreign body in esophagus causing oth injury, init"
T18108D,"Unsp foreign body in esophagus causing oth injury, subs"
T18108S,"Unsp foreign body in esophagus causing other injury, sequela"
T18110A,"Gastric contents in esoph causing comprsn of trachea, init"
T18110D,"Gastric contents in esoph causing comprsn of trachea, subs"
T18110S,"Gastric contents in esoph cause comprsn of trachea, sequela"
T18118A,"Gastric contents in esophagus causing oth injury, init"
T18118D,"Gastric contents in esophagus causing oth injury, subs"
T18118S,"Gastric contents in esophagus causing other injury, sequela"
T18120A,"Food in esophagus causing compression of trachea, init"
T18120D,"Food in esophagus causing compression of trachea, subs"
T18120S,"Food in esophagus causing compression of trachea, sequela"
T18128A,"Food in esophagus causing other injury, initial encounter"
T18128D,"Food in esophagus causing other injury, subsequent encounter"
T18128S,"Food in esophagus causing other injury, sequela"
T18190A,"Oth foreign object in esoph causing comprsn of trachea, init"
T18190D,"Oth foreign object in esoph causing comprsn of trachea, subs"
T18190S,"Oth forn object in esoph cause comprsn of trachea, sequela"
T18198A,"Oth foreign object in esophagus causing oth injury, init"
T18198D,"Oth foreign object in esophagus causing oth injury, subs"
T18198S,"Oth foreign object in esophagus causing oth injury, sequela"
T182XXA,"Foreign body in stomach, initial encounter"
T182XXD,"Foreign body in stomach, subsequent encounter"
T182XXS,"Foreign body in stomach, sequela"
T183XXA,"Foreign body in small intestine, initial encounter"
T183XXD,"Foreign body in small intestine, subsequent encounter"
T183XXS,"Foreign body in small intestine, sequela"
T184XXA,"Foreign body in colon, initial encounter"
T184XXD,"Foreign body in colon, subsequent encounter"
T184XXS,"Foreign body in colon, sequela"
T185XXA,"Foreign body in anus and rectum, initial encounter"
T185XXD,"Foreign body in anus and rectum, subsequent encounter"
T185XXS,"Foreign body in anus and rectum, sequela"
T188XXA,"Foreign body in other parts of alimentary tract, init encntr"
T188XXD,"Foreign body in other parts of alimentary tract, subs encntr"
T188XXS,"Foreign body in other parts of alimentary tract, sequela"
T189XXA,"Foreign body of alimentary tract, part unsp, init encntr"
T189XXD,"Foreign body of alimentary tract, part unsp, subs encntr"
T189XXS,"Foreign body of alimentary tract, part unspecified, sequela"
T190XXA,"Foreign body in urethra, initial encounter"
T190XXD,"Foreign body in urethra, subsequent encounter"
T190XXS,"Foreign body in urethra, sequela"
T191XXA,"Foreign body in bladder, initial encounter"
T191XXD,"Foreign body in bladder, subsequent encounter"
T191XXS,"Foreign body in bladder, sequela"
T192XXA,"Foreign body in vulva and vagina, initial encounter"
T192XXD,"Foreign body in vulva and vagina, subsequent encounter"
T192XXS,"Foreign body in vulva and vagina, sequela"
T193XXA,"Foreign body in uterus, initial encounter"
T193XXD,"Foreign body in uterus, subsequent encounter"
T193XXS,"Foreign body in uterus, sequela"
T194XXA,"Foreign body in penis, initial encounter"
T194XXD,"Foreign body in penis, subsequent encounter"
T194XXS,"Foreign body in penis, sequela"
T198XXA,"Foreign body in oth prt genitourinary tract, init encntr"
T198XXD,"Foreign body in oth prt genitourinary tract, subs encntr"
T198XXS,"Foreign body in other parts of genitourinary tract, sequela"
T199XXA,"Foreign body in genitourinary tract, part unsp, init encntr"
T199XXD,"Foreign body in genitourinary tract, part unsp, subs encntr"
T199XXS,"Foreign body in genitourinary tract, part unsp, sequela"
T2000XA,"Burn of unsp degree of head, face, and neck, unsp site, init"
T2000XD,"Burn of unsp degree of head, face, and neck, unsp site, subs"
T2000XS,"Burn unsp degree of head, face, and neck, unsp site, sequela"
T20011A,"Burn of unspecified degree of right ear, initial encounter"
T20011D,"Burn of unspecified degree of right ear, subs encntr"
T20011S,"Burn of unspecified degree of right ear, sequela"
T20012A,"Burn of unspecified degree of left ear, initial encounter"
T20012D,"Burn of unspecified degree of left ear, subsequent encounter"
T20012S,"Burn of unspecified degree of left ear, sequela"
T20019A,"Burn of unspecified degree of unspecified ear, init encntr"
T20019D,"Burn of unspecified degree of unspecified ear, subs encntr"
T20019S,"Burn of unspecified degree of unspecified ear, sequela"
T2002XA,"Burn of unspecified degree of lip(s), initial encounter"
T2002XD,"Burn of unspecified degree of lip(s), subsequent encounter"
T2002XS,"Burn of unspecified degree of lip(s), sequela"
T2003XA,"Burn of unspecified degree of chin, initial encounter"
T2003XD,"Burn of unspecified degree of chin, subsequent encounter"
T2003XS,"Burn of unspecified degree of chin, sequela"
T2004XA,"Burn of unspecified degree of nose (septum), init encntr"
T2004XD,"Burn of unspecified degree of nose (septum), subs encntr"
T2004XS,"Burn of unspecified degree of nose (septum), sequela"
T2005XA,"Burn of unspecified degree of scalp, initial encounter"
T2005XD,"Burn of unspecified degree of scalp, subsequent encounter"
T2005XS,"Burn of unspecified degree of scalp [any part], sequela"
T2006XA,"Burn of unsp degree of forehead and cheek, init encntr"
T2006XD,"Burn of unsp degree of forehead and cheek, subs encntr"
T2006XS,"Burn of unspecified degree of forehead and cheek, sequela"
T2007XA,"Burn of unspecified degree of neck, initial encounter"
T2007XD,"Burn of unspecified degree of neck, subsequent encounter"
T2007XS,"Burn of unspecified degree of neck, sequela"
T2009XA,"Burn of unsp deg mult sites of head, face, and neck, init"
T2009XD,"Burn of unsp deg mult sites of head, face, and neck, subs"
T2009XS,"Burn of unsp deg mult sites of head, face, and neck, sequela"
T2010XA,"Burn first degree of head, face, and neck, unsp site, init"
T2010XD,"Burn first degree of head, face, and neck, unsp site, subs"
T2010XS,"Burn first degree of head, face, and neck, unsp site, sqla"
T20111A,"Burn of first degree of right ear, initial encounter"
T20111D,"Burn of first degree of right ear, subsequent encounter"
T20111S,"Burn of first degree of right ear, sequela"
T20112A,"Burn of first degree of left ear, initial encounter"
T20112D,"Burn of first degree of left ear, subsequent encounter"
T20112S,"Burn of first degree of left ear, sequela"
T20119A,"Burn of first degree of unspecified ear, initial encounter"
T20119D,"Burn of first degree of unspecified ear, subs encntr"
T20119S,"Burn of first degree of unspecified ear, sequela"
T2012XA,"Burn of first degree of lip(s), initial encounter"
T2012XD,"Burn of first degree of lip(s), subsequent encounter"
T2012XS,"Burn of first degree of lip(s), sequela"
T2013XA,"Burn of first degree of chin, initial encounter"
T2013XD,"Burn of first degree of chin, subsequent encounter"
T2013XS,"Burn of first degree of chin, sequela"
T2014XA,"Burn of first degree of nose (septum), initial encounter"
T2014XD,"Burn of first degree of nose (septum), subsequent encounter"
T2014XS,"Burn of first degree of nose (septum), sequela"
T2015XA,"Burn of first degree of scalp [any part], initial encounter"
T2015XD,"Burn of first degree of scalp, subsequent encounter"
T2015XS,"Burn of first degree of scalp [any part], sequela"
T2016XA,"Burn of first degree of forehead and cheek, init encntr"
T2016XD,"Burn of first degree of forehead and cheek, subs encntr"
T2016XS,"Burn of first degree of forehead and cheek, sequela"
T2017XA,"Burn of first degree of neck, initial encounter"
T2017XD,"Burn of first degree of neck, subsequent encounter"
T2017XS,"Burn of first degree of neck, sequela"
T2019XA,"Burn of first deg mult sites of head, face, and neck, init"
T2019XD,"Burn of first deg mult sites of head, face, and neck, subs"
T2019XS,"Burn first deg mult sites of head, face, and neck, sequela"
T2020XA,"Burn second degree of head, face, and neck, unsp site, init"
T2020XD,"Burn second degree of head, face, and neck, unsp site, subs"
T2020XS,"Burn second degree of head, face, and neck, unsp site, sqla"
T20211A,"Burn of second degree of right ear, initial encounter"
T20211D,"Burn of second degree of right ear, subsequent encounter"
T20211S,"Burn of second degree of right ear, sequela"
T20212A,"Burn of second degree of left ear, initial encounter"
T20212D,"Burn of second degree of left ear, subsequent encounter"
T20212S,"Burn of second degree of left ear, sequela"
T20219A,"Burn of second degree of unspecified ear, initial encounter"
T20219D,"Burn of second degree of unspecified ear, subs encntr"
T20219S,"Burn of second degree of unspecified ear, sequela"
T2022XA,"Burn of second degree of lip(s), initial encounter"
T2022XD,"Burn of second degree of lip(s), subsequent encounter"
T2022XS,"Burn of second degree of lip(s), sequela"
T2023XA,"Burn of second degree of chin, initial encounter"
T2023XD,"Burn of second degree of chin, subsequent encounter"
T2023XS,"Burn of second degree of chin, sequela"
T2024XA,"Burn of second degree of nose (septum), initial encounter"
T2024XD,"Burn of second degree of nose (septum), subsequent encounter"
T2024XS,"Burn of second degree of nose (septum), sequela"
T2025XA,"Burn of second degree of scalp [any part], initial encounter"
T2025XD,"Burn of second degree of scalp, subsequent encounter"
T2025XS,"Burn of second degree of scalp [any part], sequela"
T2026XA,"Burn of second degree of forehead and cheek, init encntr"
T2026XD,"Burn of second degree of forehead and cheek, subs encntr"
T2026XS,"Burn of second degree of forehead and cheek, sequela"
T2027XA,"Burn of second degree of neck, initial encounter"
T2027XD,"Burn of second degree of neck, subsequent encounter"
T2027XS,"Burn of second degree of neck, sequela"
T2029XA,"Burn of 2nd deg mul sites of head, face, and neck, init"
T2029XD,"Burn of 2nd deg mul sites of head, face, and neck, subs"
T2029XS,"Burn of 2nd deg mul sites of head, face, and neck, sequela"
T2030XA,"Burn third degree of head, face, and neck, unsp site, init"
T2030XD,"Burn third degree of head, face, and neck, unsp site, subs"
T2030XS,"Burn third degree of head, face, and neck, unsp site, sqla"
T20311A,"Burn of third degree of right ear, initial encounter"
T20311D,"Burn of third degree of right ear, subsequent encounter"
T20311S,"Burn of third degree of right ear, sequela"
T20312A,"Burn of third degree of left ear, initial encounter"
T20312D,"Burn of third degree of left ear, subsequent encounter"
T20312S,"Burn of third degree of left ear, sequela"
T20319A,"Burn of third degree of unspecified ear, initial encounter"
T20319D,"Burn of third degree of unspecified ear, subs encntr"
T20319S,"Burn of third degree of unspecified ear, sequela"
T2032XA,"Burn of third degree of lip(s), initial encounter"
T2032XD,"Burn of third degree of lip(s), subsequent encounter"
T2032XS,"Burn of third degree of lip(s), sequela"
T2033XA,"Burn of third degree of chin, initial encounter"
T2033XD,"Burn of third degree of chin, subsequent encounter"
T2033XS,"Burn of third degree of chin, sequela"
T2034XA,"Burn of third degree of nose (septum), initial encounter"
T2034XD,"Burn of third degree of nose (septum), subsequent encounter"
T2034XS,"Burn of third degree of nose (septum), sequela"
T2035XA,"Burn of third degree of scalp [any part], initial encounter"
T2035XD,"Burn of third degree of scalp, subsequent encounter"
T2035XS,"Burn of third degree of scalp [any part], sequela"
T2036XA,"Burn of third degree of forehead and cheek, init encntr"
T2036XD,"Burn of third degree of forehead and cheek, subs encntr"
T2036XS,"Burn of third degree of forehead and cheek, sequela"
T2037XA,"Burn of third degree of neck, initial encounter"
T2037XD,"Burn of third degree of neck, subsequent encounter"
T2037XS,"Burn of third degree of neck, sequela"
T2039XA,"Burn of 3rd deg mu sites of head, face, and neck, init"
T2039XD,"Burn of 3rd deg mu sites of head, face, and neck, subs"
T2039XS,"Burn of 3rd deg mu sites of head, face, and neck, sequela"
T2040XA,"Corros unsp degree of head, face, and neck, unsp site, init"
T2040XD,"Corros unsp degree of head, face, and neck, unsp site, subs"
T2040XS,"Corros unsp degree of head, face, and neck, unsp site, sqla"
